model,draw,method,n_per_type,top_share,top_type,deepest_type,rho_depth_share,share_pDC,argmax_agree_all,argmax_agree_informative
enhancer,6,raw_mean,112,0.4354587086709275,pDC,pDC,0.7142857142857144,0.4354587086709275,0.3162385485899048,0.6263374485596708
enhancer,6,zscale_mean,112,0.43681747269890797,pDC,pDC,0.7619047619047621,0.43681747269890797,0.31632836357104366,0.6288065843621399
enhancer,6,lognorm_mean,112,0.19918474158321173,pDC,pDC,0.2142857142857143,0.19918474158321173,0.3309682054966768,0.6469135802469136
enhancer,6,pseudobulk_cpm,112,0.16063610286346938,pDC,pDC,-0.07142857142857144,0.16063610286346938,0.3214478174959583,0.6255144032921811
enhancer,6,depth_matched,112,0.19948668914498516,pDC,pDC,0.7142857142857144,0.19948668914498516,0.32971079576073287,0.6469135802469136
enhancer,6,cpm_mean,112,0.1578682502138795,pDC,pDC,-0.023809523809523815,0.1578682502138795,0.3017783366265493,0.6
enhancer,6,archr_style,112,0.19903376780232498,pDC,pDC,0.2142857142857143,0.19903376780232498,0.3309682054966768,0.6469135802469136
enhancer,7,raw_mean,112,0.46394242866488855,pDC,pDC,0.880952380952381,0.46394242866488855,0.32387282198670736,0.6296296296296297
enhancer,7,zscale_mean,112,0.4644959991948065,pDC,pDC,0.880952380952381,0.4644959991948065,0.3240524519489851,0.6320987654320988
enhancer,7,lognorm_mean,112,0.20789089628101254,pDC,pDC,-0.1666666666666667,0.20789089628101254,0.3210885575714029,0.6460905349794238
enhancer,7,pseudobulk_cpm,112,0.16033415530169595,pDC,pDC,-0.023809523809523815,0.16033415530169595,0.31309502425004493,0.6148148148148148
enhancer,7,depth_matched,112,0.20713602737657894,pDC,pDC,0.4761904761904762,0.20713602737657894,0.3257589365906233,0.6526748971193416
enhancer,7,cpm_mean,112,0.15806954858839514,pDC,pDC,0.09523809523809526,0.15806954858839514,0.29459313813544097,0.5917695473251029
enhancer,7,archr_style,112,0.20784057168738362,pDC,pDC,-0.1666666666666667,0.20784057168738362,0.3210885575714029,0.6460905349794238
enhancer,8,raw_mean,112,0.4026470736248805,pDC,pDC,0.880952380952381,0.4026470736248805,0.31776540326926533,0.6213991769547325
enhancer,8,zscale_mean,112,0.4042574606210055,pDC,pDC,0.880952380952381,0.4042574606210055,0.31821447817495957,0.6246913580246913
enhancer,8,lognorm_mean,112,0.1935987116904031,pDC,pDC,0.523809523809524,0.1935987116904031,0.3290820908927609,0.642798353909465
enhancer,8,pseudobulk_cpm,112,0.1569624075285592,pDC,pDC,0.19047619047619052,0.1569624075285592,0.3225255972696246,0.6246913580246913
enhancer,8,depth_matched,112,0.19702078405716875,B,pDC,0.6904761904761906,0.18398671430728197,0.3167774384767379,0.6395061728395062
enhancer,8,cpm_mean,112,0.16038447989532484,pDC,pDC,0.28571428571428575,0.16038447989532484,0.3050116759475481,0.6
enhancer,8,archr_style,112,0.1935483870967742,pDC,pDC,0.523809523809524,0.1935483870967742,0.3290820908927609,0.642798353909465
enhancer,9,raw_mean,112,0.42207236676563836,pDC,pDC,0.8571428571428572,0.42207236676563836,0.32782468115681695,0.6164609053497943
